table,fieldName,description,dataType,units,downloadPkg,pubFormat,primaryKey,categoricalCodeName
sdrc_gaugePressureRelationship,gaugeEventID,Event ID for the gauge reading,string,NA,expanded,asIs,NA,NA
sdrc_gaugePressureRelationship,gaugeHeight,Height of water at staff gauge,real,meter,expanded,*.##(round),NA,NA
sdrc_gaugePressureRelationship,dataQF,Data quality flag,string,NA,expanded,asIs,NA,NA
sensor_positions,HOR.VER,"The combined value of the horizontal and vertical location indices specified in each data file name. The HOR index is a three-character alphanumeric code for the measurement locations within one horizontal plane. For example, if one surface measurement were made at each of five soil array plots, the number in the HOR field would range from 001-005. The VER index is a three-character alphanumeric code for the measurement locations within one vertical plane. For example, if one temperature measurement is made at each vertical level of a tower with 8 levels, the number in the VER field would range from 010-080.",string,NA,basic,asIs,NA,NA
sensor_positions,sensorLocationID,The unique identifier for the location used by NEON for where the sensor was installed,string,NA,basic,asIs,NA,NA
sensor_positions,sensorLocationDescription,The description of the location where the sensor was installed,string,NA,basic,asIs,NA,NA
sensor_positions,positionStartDateTime,"The start date and time in UTC for the position information supplied for the location. If the position or orientation of the location changed over time, additional rows will supply the full history.",dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA
sensor_positions,positionEndDateTime,The end date and time in UTC for the position information supplied for the location. A blank value indicates that the position information was still valid for the location at the time of publishing.,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA
sensor_positions,referenceLocationID,"The unique identifier for the reference location from which the xOffset, yOffset, and zOffset distances are measured",string,NA,basic,asIs,NA,NA
sensor_positions,referenceLocationIDDescription,The description of the reference location,string,NA,basic,asIs,NA,NA
sensor_positions,referenceLocationIDStartDateTime,"The start date and time in UTC for the position information supplied for the reference location. If the position of the reference location changed over time, additional rows will supply the full history.",dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA
sensor_positions,referenceLocationIDEndDateTime,The end date and time in UTC for the position information supplied for the reference location,dateTime,NA,basic,yyyy-MM-dd'T'HH:mm:ss'Z'(floor),NA,NA
sensor_positions,xOffset,"The offset along the x-axis of the local coordinate frame, in meters, from the reference location to the location where the sensor was installed",real,meter,basic,*.##(round),NA,NA
sensor_positions,yOffset,"The offset along the y-axis of the local coordinate frame, in meters, from the reference location to the location where the sensor was installed",real,meter,basic,*.##(round),NA,NA
sensor_positions,zOffset,"The offset along the z-axis of the local coordinate frame, in meters, from the reference location to the location where the sensor was installed. The z-axis is always aligned with up, positive values indicating heights above the reference location.",real,meter,basic,*.##(round),NA,NA
sensor_positions,pitch,"The elevation angle, in degrees, in the vertical plane at which the sensor is oriented relative to the horizontal plane. Some sensors differ from this convention. See the product detail page for any exceptions.",real,degree,basic,*.##(round),NA,NA
sensor_positions,roll,"The roll angle at which the sensor is oriented, in degrees, about the longitudinal axis of the sensor",real,degree,basic,*.##(round),NA,NA
sensor_positions,azimuth,"The azimuth or yaw angle, in degrees, at which the sensor is facing relative to true north. Some sensors differ from this convention. See the product detail page for any exceptions.",real,degree,basic,*.##(round),NA,NA
sensor_positions,locationReferenceLatitude,"The geographic latitude, in degrees, of the reference location",real,decimalDegree,basic,*.######(round),NA,NA
sensor_positions,locationReferenceLongitude,"The geographic longitude, in degrees, of the reference location",real,degree,basic,*.######(round),NA,NA
sensor_positions,locationReferenceElevation,"The elevation, in meters, above mean sea level",real,meter,basic,*.##(round),NA,NA
sensor_positions,eastOffset,"The offset along the cardinal east direction, in meters, from the reference location to the location where the sensor was installed",real,meter,basic,*.##(round),NA,NA
sensor_positions,northOffset,"The offset along the cardinal north (true) direction, in meters, from the reference location to the location where the sensor was installed",real,meter,basic,*.##(round),NA,NA
sensor_positions,xAzimuth,"The azimuth, in degrees, of the local x-axis with respect to true north, used to convert the distance offset measured along the local x-axis (xOffset) to the offset along the cardinal east direction (eastOffset)",real,degree,basic,*.##(round),NA,NA
sensor_positions,yAzimuth,"The azimuth, in degrees, of the local y-axis with respect to true north, used to convert the distance offset measured along the local y-axis (yOffset) to the offset along the cardinal north direction (northOffset)",real,degree,basic,*.##(round),NA,NA
sensor_positions,publicationDate,Date of data publication on the NEON data portal,dateTime,NA,appended by stackByTable,NA,N,
sensor_positions,release,Identifier for data release,string,NA,appended by stackByTable,NA,N,
